time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: 0.007, -0.008, -0.968 | 0.006, 0.055, -1.021
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
27743, -0.268, -0.089, -0.137, -0.000, -0.005, -0.025
27950, -0.001, -0.000, 0.012, -0.015, -0.005, -0.025
28155, 0.132, 0.133, 0.026, -0.030, -0.020, -0.010
28362, -0.120, -0.208, -0.003, -0.044, 0.010, 0.005
28568, 0.013, -0.074, -0.033, -0.015, -0.005, 0.034
28774, -0.061, -0.060, -0.033, -0.030, -0.005, 0.049
28981, 0.013, -0.015, 0.041, -0.015, 0.010, 0.005
29187, -0.016, -0.000, -0.048, 0.015, -0.005, 0.049
29393, -0.372, -0.045, -0.151, 0.015, 0.010, 0.020
29599, -0.016, 0.044, -0.077, -0.015, 0.010, 0.005
29806, -0.164, -0.326, -0.003, -0.030, -0.005, 0.005
30012, 0.058, -0.015, -0.033, -0.030, -0.005, 0.005
30218, -0.075, -0.104, -0.033, -0.015, -0.005, 0.020
30425, 0.132, 0.222, 0.012, -0.000, -0.005, -0.040
30630, -0.179, 0.103, -0.033, 0.030, -0.005, 0.094
30837, -0.046, 0.029, -0.003, 0.015, 0.069, 0.020
31043, 0.310, 0.044, 0.115, -0.000, -0.005, 0.005
31250, -0.120, 0.059, 0.041, 0.015, 0.025, -0.025
31456, -0.061, -0.060, -0.033, 0.015, -0.005, -0.025
31663, -0.016, 0.118, -0.003, 0.015, 0.025, 0.034
31868, 0.088, 0.148, 0.012, 0.015, 0.025, 0.064
32074, -0.016, 0.074, -0.018, 0.030, 0.010, 0.020
32281, -0.298, -0.074, -0.077, 0.015, 0.025, 0.049
32487, 0.028, 0.088, -0.077, 0.030, 0.025, 0.049
32694, 0.310, 0.029, 0.086, 0.015, -0.005, 0.049
32900, 0.191, 0.074, 0.071, -0.000, -0.005, 0.020
33106, -0.120, -0.030, -0.003, 0.044, 0.040, -0.010
33312, 0.132, 0.014, 0.012, -0.000, 0.055, -0.025
33518, -0.031, 0.118, -0.033, -0.000, 0.025, 0.005
33725, 0.088, 0.148, 0.041, 0.015, 0.010, 0.005
33931, 0.043, 0.029, -0.048, -0.000, 0.010, -0.025
34138, -0.016, -0.030, 0.086, 0.015, 0.010, 0.005
